SensorID,Humidity,Temperature,Date,Time
633384,43.85,21.6,2022-11-17,23:08:00
633384,43.85,21.6,2022-11-17,23:08:00
633384,43.79,21.7,2022-11-17,22:48:00
633384,43.79,21.7,2022-11-17,22:48:00
633384,43.63,21.7,2022-11-17,22:28:00
633384,43.63,21.7,2022-11-17,22:28:00
633384,43.48,21.7,2022-11-17,22:08:00
633384,43.48,21.7,2022-11-17,22:08:00
633384,43.35,21.7,2022-11-17,21:48:00
633384,43.35,21.7,2022-11-17,21:48:00
633384,43.13,21.9,2022-11-17,21:28:00
633384,42.78,22.2,2022-11-17,21:08:00
633384,42.78,22.2,2022-11-17,21:08:00
633384,43.44,21.9,2022-11-17,20:48:00
633384,43.44,21.9,2022-11-17,20:48:00
633384,43.45,21.9,2022-11-17,20:28:00
633384,43.45,21.9,2022-11-17,20:28:00
633384,43.13,22.1,2022-11-17,20:08:00
633384,42.85,22.3,2022-11-17,19:48:00
633384,43.64,22.0,2022-11-17,19:28:00
633384,43.64,22.0,2022-11-17,19:28:00
633384,43.62,22.1,2022-11-17,19:08:00
633384,43.35,22.3,2022-11-17,18:48:00
633384,44.04,22.1,2022-11-17,18:28:00
633384,44.3,22.2,2022-11-17,18:08:00
633384,44.32,22.3,2022-11-17,17:48:00
633384,45.02,22.3,2022-11-17,17:28:00
633384,46.32,22.6,2022-11-17,17:08:00
633384,47.89,22.7,2022-11-17,16:48:00
633384,47.7,22.7,2022-11-17,16:28:00
633384,46.75,22.7,2022-11-17,16:08:00
633384,47.01,22.9,2022-11-17,15:48:00
633384,47.75,22.9,2022-11-17,15:28:00
633384,47.61,22.6,2022-11-17,15:08:00
633384,47.11,22.6,2022-11-17,14:48:00
633384,47.67,22.5,2022-11-17,14:28:00
633384,47.77,22.6,2022-11-17,14:08:00
633384,46.7,22.5,2022-11-17,13:48:00
633384,47.43,22.5,2022-11-17,13:28:00
633384,49.18,22.5,2022-11-17,13:08:00
633384,49.99,22.6,2022-11-17,12:48:00
633384,50.93,22.5,2022-11-17,12:28:00
633384,51.09,22.2,2022-11-17,12:08:00
633384,50.49,22.2,2022-11-17,11:48:00
633384,51.45,22.2,2022-11-17,11:28:00
633384,51.6,22.0,2022-11-17,11:08:00
633384,51.73,22.0,2022-11-17,10:48:00
633384,51.17,21.8,2022-11-17,10:28:00
633384,48.81,21.7,2022-11-17,10:08:00
633384,48.43,21.7,2022-11-17,09:48:00
633384,47.4,21.7,2022-11-17,09:28:00
633384,44.86,21.5,2022-11-17,09:08:00
633384,42.97,21.6,2022-11-17,08:48:00
633384,42.97,21.6,2022-11-17,08:48:00
633384,42.67,21.6,2022-11-17,08:28:00
633384,42.67,21.6,2022-11-17,08:08:00
633384,42.62,21.6,2022-11-17,07:48:00
633384,42.5,21.5,2022-11-17,07:28:00
633384,42.33,21.4,2022-11-17,07:08:00
633384,42.22,21.4,2022-11-17,06:48:00
633384,41.85,21.5,2022-11-17,06:28:00
633384,41.84,21.4,2022-11-17,06:08:00
633384,41.84,21.4,2022-11-17,06:08:00
633384,41.73,21.4,2022-11-17,05:48:00
633384,41.68,21.4,2022-11-17,05:28:00
633384,41.61,21.4,2022-11-17,05:08:00
633384,41.52,21.5,2022-11-17,04:48:00
633384,41.42,21.5,2022-11-17,04:28:00
633384,41.29,21.5,2022-11-17,04:08:00
633384,41.29,21.5,2022-11-17,04:08:00
633384,41.1,21.5,2022-11-17,03:48:00
633384,41.1,21.5,2022-11-17,03:48:00
633384,40.92,21.5,2022-11-17,03:28:00
633384,40.92,21.5,2022-11-17,03:28:00
633384,40.73,21.5,2022-11-17,03:08:00
633384,40.6,21.6,2022-11-17,02:48:00
633384,40.54,21.5,2022-11-17,02:28:00
633384,40.5,21.6,2022-11-17,02:08:00
633384,40.5,21.6,2022-11-17,02:08:00
633384,40.3,21.6,2022-11-17,01:48:00
633384,40.3,21.6,2022-11-17,01:48:00
633384,40.18,21.6,2022-11-17,01:28:00
633384,40.18,21.6,2022-11-17,01:28:00
633384,40.23,21.6,2022-11-17,01:08:00
