SensorID,Date,Time,x,y,z,xFreq,yFreq,zFreq
814111,11/17/2022,9:40 am,0.5,0.6,0.5,16,12,15
814111,11/17/2022,9:30 am,0.5,0.7,0.6,14,11,13
814111,11/17/2022,9:20 am,0.5,0.7,0.5,12,13,11
814111,11/17/2022,9:10 am,0.6,1.2,0.6,13,14,13
814111,11/17/2022,9:00 am,0.5,0.8,0.6,13,12,13
814111,11/17/2022,8:50 am,0.5,0.7,0.5,15,13,14
814111,11/17/2022,8:50 am,0.5,0.7,0.5,15,13,14
814111,11/17/2022,8:40 am,0.5,0.7,0.5,12,11,13
814111,11/17/2022,8:30 am,0.5,0.7,0.5,14,10,14
814111,11/17/2022,8:20 am,0.5,0.7,0.5,12,13,15
814111,11/17/2022,8:10 am,0.5,0.7,0.5,12,12,14
814111,11/17/2022,8:00 am,0.5,0.7,0.5,10,14,12
814111,11/17/2022,7:50 am,0.5,0.7,0.5,10,11,11
814111,11/17/2022,7:40 am,0.4,0.6,0.5,13,12,13
814111,11/17/2022,7:30 am,0.5,0.6,0.5,13,11,13
814111,11/17/2022,7:20 am,0.5,0.6,0.5,13,10,11
814111,11/17/2022,7:10 am,0.5,0.6,0.5,14,14,13
814111,11/17/2022,7:00 am,0.5,0.6,0.5,11,11,13
814111,11/17/2022,6:50 am,0.5,0.6,0.5,13,13,14
814111,11/17/2022,6:40 am,0.5,0.6,0.5,16,10,12
814111,11/17/2022,6:30 am,0.5,0.6,0.5,13,13,11
814111,11/17/2022,6:20 am,0.5,0.6,0.5,12,11,13
814111,11/17/2022,6:10 am,0.5,0.6,0.5,12,11,12
814111,11/17/2022,6:10 am,0.5,0.6,0.5,12,11,12
814111,11/17/2022,6:00 am,0.5,0.6,0.5,12,12,12
814111,11/17/2022,5:50 am,0.5,0.6,0.5,12,14,15
814111,11/17/2022,5:40 am,0.5,0.6,0.5,12,13,12
814111,11/17/2022,5:40 am,0.5,0.6,0.5,12,13,12
814111,11/17/2022,5:30 am,0.5,0.6,0.5,14,14,13
814111,11/17/2022,5:20 am,0.5,0.6,0.5,12,13,12
814111,11/17/2022,5:10 am,0.5,0.6,0.5,12,11,14
814111,11/17/2022,5:00 am,0.6,0.7,0.5,11,11,14
814111,11/16/2022,7:50 pm,0.5,0.6,0.5,12,13,10
814111,11/16/2022,7:40 pm,0.5,0.7,0.5,13,14,13
814111,11/16/2022,7:20 pm,0.5,0.8,0.6,15,12,14
814111,11/16/2022,7:10 pm,0.5,0.7,0.5,11,13,12
814111,11/16/2022,7:00 pm,0.5,0.6,0.5,9,12,14
