SensorID,Date,,CO2 Instantaneous ppm,CO2 TWA ppm
687589,11/19/2022,7:54 am,0,0
687589,11/19/2022,7:39 am,0,0
687589,11/19/2022,7:24 am,0,0
687589,11/19/2022,7:09 am,0,0
687589,11/19/2022,6:54 am,0,0
687589,11/19/2022,6:39 am,0,0
687589,11/19/2022,6:24 am,0,0
687589,11/19/2022,6:09 am,0,0
687589,11/19/2022,5:54 am,0,0
687589,11/19/2022,5:39 am,0,0
687589,11/19/2022,5:24 am,0,1
687589,11/19/2022,5:09 am,0,1
687589,11/19/2022,4:54 am,0,2
687589,11/19/2022,4:39 am,0,2
687589,11/19/2022,4:24 am,0,4
687589,11/19/2022,4:09 am,0,5
687589,11/19/2022,3:54 am,0,6
687589,11/19/2022,3:54 am,0,6
687589,11/19/2022,3:39 am,0,7
687589,11/19/2022,3:39 am,0,7
687589,11/19/2022,3:24 am,0,9
687589,11/19/2022,3:24 am,0,9
687589,11/19/2022,3:09 am,0,1
687589,11/19/2022,2:54 am,0,1
687589,11/19/2022,2:39 am,0,2
687589,11/19/2022,2:24 am,0,2
687589,11/19/2022,2:09 am,0,3
687589,11/19/2022,1:54 am,0,4
687589,11/19/2022,1:39 am,0,5
687589,11/19/2022,1:24 am,0,6
687589,11/19/2022,1:09 am,0,6
687589,11/19/2022,12:54 am,0,8
687589,11/19/2022,12:39 am,0,8
687589,11/19/2022,12:24 am,0,1
687589,11/19/2022,12:09 am,0,1
687589,11/18/2022,11:54 pm,0,1
687589,11/18/2022,11:39 pm,0,1
687589,11/18/2022,11:24 pm,0,1
687589,11/18/2022,11:09 pm,0,1
687589,11/18/2022,10:54 pm,0,1
687589,11/18/2022,10:39 pm,0,1
687589,11/18/2022,10:24 pm,0,2
687589,11/18/2022,10:09 pm,1,2
687589,11/18/2022,9:54 pm,0,2
687589,11/18/2022,9:39 pm,0,2
687589,11/18/2022,9:24 pm,33,:
687589,11/18/2022,9:09 pm,20,:
687589,11/18/2022,8:54 pm,25,:
687589,11/18/2022,8:39 pm,1,2
687589,11/18/2022,8:24 pm,57,:
687589,11/18/2022,8:09 pm,33,:
687589,11/18/2022,7:54 pm,31,:
687589,11/18/2022,7:39 pm,35,:
687589,11/18/2022,7:24 pm,47,:
687589,11/18/2022,7:09 pm,73,:
687589,11/18/2022,6:54 pm,22,A
687589,11/18/2022,6:39 pm,30,A
687589,11/18/2022,6:24 pm,13,A
687589,11/18/2022,6:09 pm,17,A
687589,11/18/2022,5:54 pm,32,A
687589,11/18/2022,5:39 pm,34,A
687589,11/18/2022,5:24 pm,31,A
687589,11/18/2022,5:09 pm,24,A
687589,11/18/2022,4:54 pm,26,A
687589,11/18/2022,4:39 pm,32,A
687589,11/18/2022,4:24 pm,34,A
687589,11/18/2022,4:09 pm,38,A
687589,11/18/2022,3:54 pm,39,A
687589,11/18/2022,3:39 pm,39,A
687589,11/18/2022,3:24 pm,47,A
687589,11/18/2022,3:09 pm,39,A
687589,11/18/2022,2:54 pm,35,A
687589,11/18/2022,2:39 pm,42,A
687589,11/18/2022,2:24 pm,44,A
687589,11/18/2022,2:09 pm,35,A
687589,11/18/2022,1:54 pm,13,A
687589,11/18/2022,1:39 pm,12,A
687589,11/18/2022,1:24 pm,20,A
687589,11/18/2022,1:09 pm,30,A
687589,11/18/2022,12:54 pm,22,A
687589,11/18/2022,12:39 pm,31,A
687589,11/18/2022,12:24 pm,39,A
687589,11/18/2022,12:09 pm,44,A
687589,11/18/2022,11:54 am,33,A
687589,11/18/2022,11:39 am,34,A
687589,11/18/2022,11:24 am,40,A
687589,11/18/2022,11:09 am,25,A
687589,11/18/2022,10:54 am,56,:
687589,11/18/2022,10:39 am,55,:
687589,11/18/2022,10:24 am,55,:
687589,11/18/2022,10:09 am,89,:
687589,11/18/2022,9:54 am,22,:
687589,11/18/2022,9:39 am,32,:
687589,11/18/2022,9:24 am,10,:
687589,11/18/2022,9:09 am,0,0
687589,11/18/2022,8:54 am,0,0
687589,11/18/2022,8:39 am,0,0
687589,11/18/2022,8:24 am,0,0
687589,11/18/2022,8:09 am,0,0
687589,11/18/2022,7:54 am,0,0
687589,11/18/2022,7:39 am,0,0
687589,11/18/2022,7:24 am,0,0
687589,11/18/2022,7:09 am,0,0
687589,11/18/2022,6:54 am,0,0
687589,11/18/2022,6:39 am,0,0
687589,11/18/2022,6:24 am,0,0
687589,11/18/2022,6:09 am,0,0
687589,11/18/2022,5:54 am,0,0
687589,11/18/2022,5:39 am,0,0
687589,11/18/2022,5:24 am,0,0
687589,11/18/2022,5:09 am,0,0
687589,11/18/2022,4:54 am,0,0
687589,11/18/2022,4:39 am,0,0
687589,11/18/2022,4:24 am,0,0
687589,11/18/2022,4:09 am,0,0
687589,11/18/2022,4:09 am,0,0
687589,11/18/2022,3:54 am,0,0
687589,11/18/2022,3:54 am,0,0
687589,11/18/2022,3:39 am,0,0
687589,11/18/2022,3:24 am,0,0
687589,11/18/2022,3:09 am,0,0
687589,11/18/2022,2:54 am,0,1
687589,11/18/2022,2:39 am,0,1
687589,11/18/2022,2:24 am,0,3
687589,11/18/2022,2:09 am,0,5
687589,11/18/2022,2:09 am,0,5
687589,11/18/2022,1:54 am,0,8
687589,11/18/2022,1:54 am,0,8
687589,11/18/2022,1:39 am,0,1
687589,11/18/2022,1:39 am,0,1
687589,11/18/2022,1:24 am,0,1
687589,11/18/2022,1:24 am,0,1
687589,11/18/2022,1:09 am,0,2
687589,11/18/2022,1:09 am,0,2
687589,11/18/2022,12:54 am,0,3
687589,11/18/2022,12:54 am,0,3
687589,11/18/2022,12:39 am,0,4
687589,11/18/2022,12:39 am,0,4
687589,11/18/2022,12:24 am,0,5
687589,11/18/2022,12:24 am,0,5
687589,11/18/2022,12:09 am,0,6
687589,11/18/2022,12:09 am,0,6
687589,11/17/2022,11:54 pm,0,7
687589,11/17/2022,11:54 pm,0,7
687589,11/17/2022,11:39 pm,0,8
687589,11/17/2022,11:39 pm,0,8
687589,11/17/2022,11:24 pm,0,1
687589,11/17/2022,11:24 pm,0,1
687589,11/17/2022,11:09 pm,0,1
687589,11/17/2022,11:09 pm,0,1
687589,11/17/2022,10:54 pm,0,1
687589,11/17/2022,10:54 pm,0,1
687589,11/17/2022,10:39 pm,0,1
687589,11/17/2022,10:39 pm,0,1
687589,11/17/2022,10:24 pm,0,1
687589,11/17/2022,10:24 pm,0,1
687589,11/17/2022,10:09 pm,0,1
687589,11/17/2022,10:09 pm,0,1
687589,11/17/2022,9:54 pm,0,1
687589,11/17/2022,9:54 pm,0,1
687589,11/17/2022,9:39 pm,0,1
687589,11/17/2022,9:39 pm,0,1
687589,11/17/2022,9:24 pm,0,1
687589,11/17/2022,9:09 pm,0,2
